Flow Duration,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Flow IAT Mean,Flow IAT Min,Fwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,Labelb
50833,0,0,0.0,0,0,50833.0,50833,0,32,32,19.67226015,19.67226015,0,1,1,319,153,32,0
49,0,0,0.0,0,0,49.0,49,49,64,0,40816.32653,0.0,0,0,0,277,-1,32,0
306,6,6,6.0,6,6,306.0,306,0,20,20,3267.973856,3267.973856,6,0,1,0,0,20,0
63041,65,65,65.0,124,124,63041.0,63041,0,32,32,15.86269253,15.86269253,65,0,1,-1,-1,32,0
47682,43,43,43.0,59,59,47682.0,47682,0,32,32,20.97227465,20.97227465,43,0,1,-1,-1,32,0
23896,88,44,44.0,100,100,7965.333333,3,3,64,64,83.69601607,83.69601607,44,0,1,-1,-1,32,0
343,62,31,31.0,159,159,114.3333333,4,48,40,40,5830.90379,5830.90379,31,0,1,-1,-1,20,0
25271,164,41,41.0,57,57,3610.142857,1,1,80,80,158.2841993,158.2841993,41,0,1,-1,-1,20,0
1060,78,39,39.0,104,104,353.3333333,48,48,40,40,1886.792453,1886.792453,39,0,1,-1,-1,20,0
224,82,41,41.0,169,169,74.66666667,3,3,64,64,8928.571429000001,8928.571429000001,41,0,1,-1,-1,32,0
24644,176,44,44.0,60,60,3520.571429,3,3,80,80,162.3113131,162.3113131,44,0,1,-1,-1,20,0
64182028,876,479,54.75,1460,0,2139400.933,33,797,332,384,0.24929097,0.233710284,0,0,0,8192,114,20,0
14387858,825,472,82.5,1869,0,846344.5882,40,8583,212,172,0.69503049,0.556024392,0,0,0,8192,245,20,0
15194838,18,6,6.0,0,0,3798709.5,23597,5164103,60,64,0.197435471,0.1316236469999999,0,0,0,256,302,20,0
1,12,6,6.0,0,0,1.0,1,1,40,0,2000000.0,0.0,6,0,0,5500,-1,20,0
254408,548,189,60.88888889,2820,0,14133.77778,3,4,192,212,35.37624603,39.30694003,0,0,1,8192,119,20,0
101547,552,193,61.33333333,2255,0,5641.5,1,3,192,212,88.62891075,98.4765675,0,0,1,8192,119,20,0
112,12,6,6.0,0,0,112.0,112,112,40,0,17857.14286,0.0,6,0,0,253,-1,20,0
5914303,12,6,4.0,0,0,1971434.333,114,15953,80,32,0.507244894,0.169081631,0,0,0,29200,29200,20,0
195,86,43,43.0,102,102,65.0,4,48,80,80,10256.41026,10256.41026,43,0,1,-1,-1,40,0
204,90,45,45.0,86,86,68.0,4,4,64,64,9803.921569,9803.921569,45,0,1,-1,-1,32,0
15409612,1391,517,126.4545455,1448,0,733791.0476,3,190,360,360,0.7138401670000001,0.7138401670000001,0,0,1,29200,35,32,0
60096871,1192,517,62.73684211,2338,0,1365837.977,1,195,400,532,0.316156227,0.4326348370000001,0,0,1,29200,127,20,0
222,64,32,32.0,88,88,74.0,2,192,40,40,9009.009009,9009.009009,32,0,1,-1,-1,20,0
20272501,1824,709,58.83870968,2896,0,332336.082,3,3,1108,1000,1.52916505,1.52916505,0,0,1,29200,129,32,0
832996,1778,603,136.76923080000003,1313,0,34708.16667,1,170,424,392,15.60631744,14.40583148,0,0,0,29200,60,32,0
3,0,0,0.0,0,0,1.5,1,1,96,0,1000000.0,0.0,0,1,0,290,-1,32,0
47346,52,52,52.0,68,68,47346.0,47346,0,32,32,21.12110844,21.12110844,52,0,1,-1,-1,32,0
263,82,41,41.0,105,105,87.66666667,4,4,40,40,7604.562738,7604.562738,41,0,1,-1,-1,20,0
4,31,31,15.5,0,0,4.0,4,4,64,0,500000.0,0.0,0,0,0,118,-1,32,0
48,0,0,0.0,0,0,48.0,48,0,32,32,20833.33333,20833.33333,0,1,1,377,406,32,0
51504,0,0,0.0,0,0,51504.0,51504,0,32,32,19.41596769,19.41596769,0,1,1,237,111,32,0
24027,60,30,30.0,97,97,8009.0,4,4,80,64,83.23968868,83.23968868,30,0,1,-1,-1,40,0
64438106,176,45,25.14285714,41,41,8054763.25,15,15,140,40,0.108631374,0.031037535,6,0,0,246,31,20,0
46387,54,54,54.0,162,162,46387.0,46387,0,20,20,21.55776403,21.55776403,54,0,1,-1,-1,20,0
57254751,148,77,74.0,159,139,19100000.0,406,57300000,64,64,0.034931599,0.034931599,71,0,1,-1,-1,32,0
60442,276,69,69.0,151,151,12088.4,3,3,104,40,66.17914695,33.08957348,69,0,0,-1,-1,20,0
5246365,1432,885,179.0,1460,0,349757.6667,3,539,184,172,1.524865312,1.524865312,0,0,1,8192,19,20,0
52,0,0,0.0,0,0,52.0,52,0,32,32,19230.76923,19230.76923,0,1,1,905,229,32,0
197,37,37,18.5,6,6,98.5,3,3,64,20,10152.28426,5076.142132,0,0,0,1106,0,32,0
5145482,135,46,27.0,46,46,1029096.4,4,4,100,20,0.971726264,0.194345253,6,0,0,255,416,20,0
61515461,1639,517,68.29166667,4380,0,1255417.571,4,198,500,532,0.39014582,0.4226579720000001,0,0,1,29200,131,20,0
172,60,30,30.0,94,94,57.33333333,3,3,64,64,11627.90698,11627.90698,30,0,1,-1,-1,32,0
116215102,1344,646,40.72727273,1418,0,1936918.367,1,1,1064,904,0.283956211,0.240932542,0,0,0,29200,367,32,0
12513829,2652,862,189.4285714,2896,0,568810.4091,13,13,456,296,1.118762291,0.71920433,0,0,0,29200,1026,32,0
249,64,32,32.0,48,48,83.0,48,48,64,64,8032.128514,8032.128514,32,0,1,-1,-1,32,0
169,43,31,14.33333333,6,6,56.33333333,3,3,60,20,17751.47929,5917.159763000002,6,0,0,1129,0,20,0
4,43,31,14.33333333,0,0,2.0,0,0,60,0,750000.0,0.0,6,0,0,62,-1,20,0
5211325,379,186,42.11111111,1418,0,372237.5,9,48,296,200,1.7270080069999998,1.151338671,0,0,0,29200,349,32,0
75617049,2102,1052,191.0909091,1108,0,3600811.857,4,275,352,352,0.14546984,0.14546984,0,0,1,311,334,32,0
103864,6,6,6.0,6,6,103864.0,103864,0,20,20,9.627975044,9.627975044,6,1,1,237,237,20,0
77821,50,50,50.0,66,66,77821.0,77821,0,20,20,12.85000193,12.85000193,50,0,1,-1,-1,20,0
117402843,616,194,47.38461538,1460,0,4891785.125,4,15107,272,252,0.1107298569999999,0.102212176,0,0,0,8192,31,20,0
23722,120,30,30.0,224,224,4744.4,1,1,80,40,168.6198466,84.30992328,30,0,0,-1,-1,20,0
1960,31,31,10.33333333,0,0,980.0,4,4,96,0,1530.612245,0.0,0,0,0,118,-1,32,0
4,253,216,84.33333333,0,0,2.0,1,1,60,0,750000.0,0.0,6,0,0,11,-1,20,0
500007,62,31,31.0,0,0,500007.0,500007,500007,40,0,3.999944001,0.0,31,1,0,75,-1,20,0
52,0,0,0.0,0,0,52.0,52,52,64,0,38461.53846,0.0,0,0,0,260,-1,32,0
50740,94,47,47.0,103,103,16913.33333,3,3,40,40,39.41663382,39.41663382,47,0,1,-1,-1,20,0
51014,76,38,38.0,90,90,17004.66667,4,49,40,40,39.20492414,39.20492414,38,0,1,-1,-1,20,0
48080,76,38,38.0,104,104,16026.66667,4,4,40,40,41.59733777,41.59733777,38,0,1,-1,-1,20,0
122902,76,38,38.0,150,150,40967.33333,48,48,40,40,16.27312818,16.27312818,38,0,1,-1,-1,20,0
72,6,6,6.0,6,6,72.0,72,0,20,20,13888.88889,13888.88889,6,1,1,229,256,20,0
3,31,31,15.5,0,0,3.0,3,3,64,0,666666.6667,0.0,0,0,0,290,-1,32,0
21,0,0,0.0,0,0,21.0,21,0,32,32,47619.04762,47619.04762,0,1,1,123,614,32,0
30,0,0,0.0,0,0,30.0,30,0,32,32,33333.33333,33333.33333,0,1,1,123,591,32,0
3,12,6,6.0,0,0,3.0,3,3,40,0,666666.6667,0.0,6,0,0,119,-1,20,0
4,31,31,15.5,0,0,4.0,4,4,64,0,500000.0,0.0,0,0,0,30,-1,32,0
55,6,6,6.0,6,6,55.0,55,0,20,20,18181.81818,18181.81818,6,1,1,66,343,20,0
117905234,1145,408,67.35294118,2860,0,3803394.645,1,25,352,312,0.144183591,0.127220815,0,0,0,8192,360,20,0
83513,124,31,31.0,126,126,16702.6,3,3,104,40,47.89673464,23.94836732,31,0,0,-1,-1,20,0
5787982,12,6,4.0,0,0,1929327.333,65,99842,72,32,0.518315364,0.172771788,0,0,0,8192,29200,20,0
23512,6,6,6.0,6,6,23512.0,23512,0,20,20,42.53147329,42.53147329,6,1,1,740,127,20,0
23878,46,46,46.0,174,174,23878.0,23878,0,32,20,41.8795544,41.8795544,46,0,1,-1,-1,32,0
193,80,40,40.0,56,56,64.33333333,3,48,40,40,10362.6943,10362.6943,40,0,1,-1,-1,20,0
23903,80,40,40.0,101,101,7967.666667,3,4,40,40,83.67150567,83.67150567,40,0,1,-1,-1,20,0
61510,212,53,53.0,119,119,12302.0,3,3,104,40,65.03007641,32.51503821,53,0,0,-1,-1,20,0
25084,160,40,40.0,130,130,3583.428571,3,3,104,80,159.46420030000004,159.46420030000004,40,0,1,-1,-1,20,0
14617872,18,6,6.0,0,0,3654468.0,23456,4587103,60,64,0.20522823,0.13681882,0,0,0,256,290,20,0
49829,0,0,0.0,0,0,24914.5,54,49829,64,32,40.13726946,20.06863473,0,1,0,260,389,32,0
105,6,6,6.0,6,6,105.0,105,0,20,20,9523.809524,9523.809524,6,1,1,106,256,20,0
76,6,6,6.0,6,6,76.0,76,0,20,20,13157.89474,13157.89474,6,1,1,52,256,20,0
60833,52,52,52.0,68,68,60833.0,60833,0,20,20,16.43844624,16.43844624,52,0,1,-1,-1,20,0
88182418,292,42,36.5,374,142,8016583.455,1,1,184,80,0.090721032,0.045360516,31,0,0,-1,-1,20,0
18569,6,6,6.0,6,6,18569.0,18569,0,20,20,53.85319619,53.85319619,6,0,1,0,292,20,0
216962,5673,5133,810.4285714,1460,2,12053.44444,1,483,152,244,32.26371438,55.30922466,0,0,1,8192,65535,20,0
45,6,6,6.0,6,6,45.0,45,0,20,20,22222.22222,22222.22222,6,1,1,114,255,20,0
164,90,45,45.0,61,61,54.66666667,3,3,40,40,12195.12195,12195.12195,45,0,1,-1,-1,20,0
116460949,2263,617,15.5,4380,0,346609.9673,0,3,2932,3964,1.2536391059999998,1.640034721,0,0,1,8192,1019,20,0
60555253,1699,517,49.97058824,4380,0,841045.1806,0,1,700,792,0.561470695,0.644039915,0,0,1,29200,131,20,0
20727635,1344,709,84.0,2896,0,714746.0345,22,49,520,456,0.771916333,0.6754267909999999,0,0,0,29200,123,32,0
104859421,100,52,50.0,242,112,35000000.0,24228,104000000,52,52,0.019073155,0.019073155,48,0,1,-1,-1,20,0
282,94,47,47.0,103,103,94.0,48,49,40,40,7092.198581999999,7092.198581999999,47,0,1,-1,-1,20,0
163,46,23,23.0,23,23,54.33333333,1,1,64,64,12269.93865,12269.93865,23,0,1,-1,-1,32,0
4,6,6,6.0,6,6,4.0,4,0,20,20,250000.0,250000.0,6,0,1,256,121,20,0
69805,41,41,41.0,219,219,69805.0,69805,0,20,20,14.32562137,14.32562137,41,0,1,-1,-1,20,0
92970,56,56,56.0,338,338,92970.0,92970,0,32,20,10.7561579,10.7561579,56,0,1,-1,-1,32,0
153,80,40,40.0,56,56,51.0,4,4,64,64,13071.89542,13071.89542,40,0,1,-1,-1,32,0
214,72,36,36.0,68,68,71.33333333,48,48,40,40,9345.794393,9345.794393,36,0,1,-1,-1,20,0
5679467,0,0,0.0,0,0,1893155.667,66,23865,104,40,0.528218581,0.17607286,0,0,0,29200,28960,32,0
16368,6,6,6.0,6,6,16368.0,16368,0,20,20,61.09481916,61.09481916,6,1,1,242,274,20,0
106254,0,0,0.0,0,0,106254.0,106254,0,32,32,9.411410394,9.411410394,0,1,1,812,125,32,0
144,6,6,6.0,6,6,144.0,144,0,20,20,6944.444444,6944.444444,6,1,1,256,245,20,0
307,12,6,6.0,0,0,307.0,307,307,40,0,6514.65798,0.0,6,0,0,32,-1,20,0
169,0,0,0.0,0,0,169.0,169,0,32,32,5917.159763000002,5917.159763000002,0,1,1,290,243,32,0
115453997,2547,849,115.7727273,1502,0,2684976.674,9,48,704,704,0.190552086,0.190552086,0,0,1,1804,88,32,0
118899953,13640,341,53.28125,3386,0,227342.1663,1,1,8192,8576,2.1530706580000003,2.253995845,0,0,1,4466,336,32,0
44,0,0,0.0,0,0,44.0,44,0,32,32,22727.27273,22727.27273,0,1,1,995,852,32,0
465,55,55,55.0,105,105,465.0,465,0,32,32,2150.537634,2150.537634,55,0,1,-1,-1,32,0
148016,184,46,46.0,150,150,29603.2,3,3,104,40,27.0241055,13.51205275,46,0,0,-1,-1,20,0
182145,196,49,49.0,155,155,36429.0,0,0,104,40,21.96052595,10.98026298,49,0,0,-1,-1,20,0
44,12,6,6.0,0,0,44.0,44,44,40,0,45454.54545,0.0,6,0,0,256,-1,20,0
79937,128,32,32.0,48,48,15987.4,3,3,80,40,50.03940603,25.01970302,32,0,0,-1,-1,20,0
69633,228,57,57.0,139,139,13926.6,3,3,80,40,57.44402798,28.72201399,57,0,0,-1,-1,20,0
108,12,6,6.0,0,0,108.0,108,108,40,0,18518.51852,0.0,6,0,0,254,-1,20,0
23281,49,49,49.0,177,177,23281.0,23281,0,32,32,42.95348138,42.95348138,49,0,1,-1,-1,32,0
111772989,8060,403,201.5,316,316,1894457.441,1,1,1280,640,0.3578682139999999,0.1789341069999999,0,0,0,1023,2079,32,0
178,102,51,51.0,112,112,59.33333333,2,3,64,64,11235.95506,11235.95506,51,0,1,-1,-1,32,0
36828,0,0,0.0,0,0,36828.0,36828,0,32,32,27.15325296,27.15325296,0,1,1,65535,396,32,0
1212504,297,297,74.25,1448,0,173214.8571,40,179745,136,140,3.298958189,3.298958189,0,0,1,29200,4677,32,0
190568,0,0,0.0,0,0,190568.0,190568,0,32,32,5.247470719,5.247470719,0,1,1,428,32,32,0
71323,64,64,64.0,157,157,71323.0,71323,0,32,32,14.02072263,14.02072263,64,0,1,-1,-1,32,0
78731,53,53,53.0,148,148,78731.0,78731,0,32,20,12.70147718,12.70147718,53,0,1,-1,-1,32,0
346,94,47,47.0,110,110,115.3333333,1,1,64,64,5780.346821,5780.346821,47,0,1,-1,-1,32,0
23787,82,41,41.0,73,73,7929.0,3,3,40,40,84.07953924,84.07953924,41,0,1,-1,-1,20,0
43,6,6,6.0,6,6,43.0,43,0,20,20,23255.81395,23255.81395,6,1,1,119,255,20,0
49015,60,30,30.0,94,94,16338.33333,4,4,64,64,40.80383556,40.80383556,30,0,1,-1,-1,32,0
218,102,51,51.0,112,112,72.66666667,48,49,64,64,9174.311927,9174.311927,51,0,1,-1,-1,32,0
48464,92,92,92.0,170,170,48464.0,48464,0,32,32,20.63387257,20.63387257,92,0,1,-1,-1,32,0
47,38,38,38.0,6,6,47.0,47,0,20,20,21276.59574,21276.59574,6,0,1,351,0,20,0
753284,628,628,209.3333333,407,0,125547.3333,3,232789,104,136,3.98256169,5.310082253,0,0,1,29200,123,32,0
1547910,24304,5472,1215.2,2836,0,39690.0,1,2,660,648,12.92064784,12.92064784,0,0,1,29200,720,32,0
301,0,0,0.0,0,0,301.0,301,301,64,0,6644.518272,0.0,0,0,0,30558,-1,32,0
204,0,0,0.0,0,0,204.0,204,204,64,0,9803.921569,0.0,0,0,0,30016,-1,32,0
449651,649,649,216.3333333,421,0,74941.83333,1,81,104,136,6.67184105,8.895788067,0,0,1,29200,5029,32,0
34714114,1760,431,160.0,1963,0,1735705.7,47,9448,232,236,0.316873995,0.2880672689999999,0,0,0,8192,1013,20,0
72673634,5536,303,20.65671642,4380,0,114087.3375,1,56,5372,7484,3.687719813,5.091254966,0,0,1,8192,103,20,0
212013,44,44,44.0,60,60,212013.0,212013,0,32,20,4.716691901,4.716691901,44,0,1,-1,-1,32,0
48988,81,81,81.0,163,163,48988.0,48988,0,32,20,20.41316241,20.41316241,81,0,1,-1,-1,32,0
115574577,439,439,27.4375,796,0,3985330.241,40,54,520,456,0.13843875,0.121133906,0,0,0,29200,285,32,0
15987554,1767,579,196.3333333,246,0,999222.125,35,66,200,172,0.562937895,0.50038924,0,0,0,29200,142,20,0
61008,64,32,32.0,70,70,20336.0,1,1,40,80,32.78258589,32.78258589,32,0,1,-1,-1,20,0
219,64,32,32.0,102,102,73.0,48,48,80,80,9132.420091,9132.420091,32,0,1,-1,-1,40,0
171,66,33,33.0,82,82,57.0,1,1,80,80,11695.90643,11695.90643,33,0,1,-1,-1,40,0
205,64,32,32.0,102,102,68.33333333,3,3,80,80,9756.097561,9756.097561,32,0,1,-1,-1,40,0
190,66,33,33.0,49,49,63.33333333,48,48,80,80,10526.31579,10526.31579,33,0,1,-1,-1,40,0
200,80,40,40.0,56,56,66.66666667,14,14,80,64,10000.0,10000.0,40,0,1,-1,-1,40,0
246432,0,0,0.0,0,0,246432.0,246432,0,32,32,4.057914557,4.057914557,0,1,1,891,676,32,0
445660,613,613,204.3333333,0,0,89132.0,60,3249,104,104,6.7315891039999975,6.7315891039999975,0,0,1,29200,4993,32,0
155883,80,40,40.0,136,136,51961.0,3,48,64,40,12.83013542,12.83013542,40,0,1,-1,-1,32,0
70967,88,44,44.0,172,172,23655.66667,3,3,40,40,28.18211281,28.18211281,44,0,1,-1,-1,20,0
4655940,135,46,27.0,46,46,931188.0,3,3,100,20,1.073897,0.2147793999999999,6,0,0,254,368,20,0
181,72,36,36.0,68,68,60.33333333,4,4,64,64,11049.72376,11049.72376,36,0,1,-1,-1,32,0
5448444,367,210,45.875,2004,0,454037.0,16,16,264,168,1.4683091169999998,0.917693198,0,0,0,29200,118,32,0
48,0,0,0.0,6,6,24.0,1,0,32,40,20833.33333,41666.66667,0,1,2,1444,0,32,0
131,6,6,6.0,6,6,131.0,131,0,20,20,7633.587786,7633.587786,6,1,1,30,255,20,0
60,6,6,6.0,6,6,60.0,60,0,20,20,16666.66667,16666.66667,6,1,1,115,256,20,0
256,70,35,35.0,84,84,85.33333333,1,1,64,80,7812.5,7812.5,35,0,1,-1,-1,32,0
233,64,32,32.0,102,102,77.66666667,48,48,80,80,8583.690987,8583.690987,32,0,1,-1,-1,40,0
236,64,32,32.0,129,129,78.66666667,1,1,80,80,8474.576271,8474.576271,32,0,1,-1,-1,40,0
197,66,33,33.0,82,82,65.66666667,1,1,80,80,10152.28426,10152.28426,33,0,1,-1,-1,40,0
18,24,6,6.0,0,0,4.5,1,1,80,32,222222.2222,55555.55556,0,0,0,0,525,20,0
1393,26,20,8.666666667000001,4380,0,174.125,3,4,72,132,2153.625269,4307.250538,0,0,2,8192,229,20,1
8399787,24,6,6.0,0,0,2799929.0,257,257,80,0,0.476202551,0.0,6,0,0,256,-1,20,1
7731256,30,6,6.0,0,0,1932814.0,250,250,100,0,0.646725448,0.0,6,0,0,256,-1,20,1
659835,26,20,8.666666667000001,5755,0,82479.375,1,1,72,132,4.546591193,9.093182387,0,0,2,8192,229,20,1
1133412,30,6,6.0,0,0,283353.0,1,1,100,0,4.411458499,0.0,6,0,0,256,-1,20,1
12148922,24,6,6.0,0,0,4049640.667,313,313,80,0,0.329247319,0.0,6,0,0,256,-1,20,1
11328660,30,6,6.0,0,0,2832165.0,1,1,100,0,0.441358466,0.0,6,0,0,256,-1,20,1
694013,26,20,8.666666667000001,5840,0,99144.71429,30,257,72,112,4.3226855980000005,7.204475997,0,0,1,8192,229,20,1
7934320,24,6,6.0,0,0,2644773.333,251,251,80,0,0.504138981,0.0,6,0,0,256,-1,20,1
4858876,24,6,6.0,0,0,1619625.333,373,373,80,0,0.823235662,0.0,6,0,0,256,-1,20,1
1283964,26,20,8.666666667000001,7215,0,183423.4286,4,93,72,112,2.3365141080000003,3.89419018,0,0,1,8192,229,20,1
143121,26,20,8.666666667000001,4380,0,17890.125,16,124,72,132,20.96128451,41.92256902,0,0,2,8192,229,20,1
72867,26,20,8.666666667000001,5840,0,9108.375,19,406,72,132,41.17090041,82.34180082,0,0,2,8192,229,20,1
1611296,30,6,6.0,0,0,402824.0,329,329,100,0,3.103092169,0.0,6,0,0,256,-1,20,1
10750687,24,6,6.0,0,0,3583562.333,987,987,80,0,0.372069245,0.0,6,0,0,256,-1,20,1
8745768,30,6,6.0,0,0,2186442.0,4,4,100,0,0.5717050810000001,0.0,6,0,0,256,-1,20,1
72084492,56,20,7.0,5840,0,6007041.0,58,211,172,112,0.110980875,0.069363047,0,0,0,256,229,20,1
923014,26,20,8.666666667000001,7215,0,131859.1429,4,96,72,112,3.250221557,5.417035928,0,0,1,8192,229,20,1
11156,26,20,8.666666667000001,4380,0,1593.714286,86,97,72,112,268.9135891,448.1893152,0,0,1,8192,229,20,1
71864137,56,20,7.0,11595,0,6533103.364,44,60,172,92,0.111321173,0.055660586,0,0,0,256,229,20,1
114000,26,20,8.666666667000001,7300,0,14250.0,3,48,72,132,26.31578947,52.63157895,0,0,2,8192,229,20,1
881840,26,20,8.666666667000001,4380,0,110230.0,3,3,72,132,3.401977683,6.803955366,0,0,2,8192,229,20,1
73349483,56,20,7.0,10135,0,6112456.917,3,3,172,112,0.10906689,0.068166806,0,0,0,256,229,20,1
72015438,1703,285,18.71428571,2860,0,284646.0,1,51,1832,3272,1.263617948,2.263403577,0,0,1,8192,368,20,0
60193,176,44,44.0,100,100,12038.6,3,3,80,40,66.45290981,33.2264549,44,0,0,-1,-1,20,0
251,76,38,38.0,242,242,83.66666667,4,4,40,40,7968.127490000003,7968.127490000003,38,0,1,-1,-1,20,0
171447,116,29,29.0,114,114,34289.4,47,47,80,64,23.33082527,11.66541263,29,0,0,-1,-1,20,0
85921,176,44,44.0,100,100,17184.2,3,3,80,40,46.55439299,23.27719649,44,0,0,-1,-1,20,0
24121,88,44,44.0,82,82,8040.333333,3,3,40,40,82.91530202,82.91530202,44,0,1,-1,-1,20,0
458,55,55,55.0,55,55,458.0,458,0,20,20,2183.406114,2183.406114,55,0,1,-1,-1,20,0
46507,54,54,54.0,92,92,46507.0,46507,0,20,20,21.50213946,21.50213946,54,0,1,-1,-1,20,0
45,6,6,6.0,6,6,45.0,45,0,20,20,22222.22222,22222.22222,6,0,1,0,254,20,0
71993134,12976,8760,2162.666667,20,0,5142366.714,1,193,132,204,0.083341281,0.125011921,0,1,1,229,256,20,0
929129,11607,5840,1934.5,20,0,116141.125,3,3,132,72,6.457660885,3.228830442,0,0,0,29200,256,20,0
12906621,6,6,6.0,6,6,2581324.2,4,0,20,100,0.077479613,0.387398065,6,1,5,229,0,20,0
11318682,6,6,6.0,6,6,2263736.4,998,0,20,100,0.088349509,0.441747546,6,1,5,229,0,20,0
9320752,6,6,6.0,6,6,1864150.4,1,0,20,100,0.1072874809999999,0.536437403,6,1,5,229,0,20,0
9322672,6,6,6.0,6,6,1553778.667,1,0,20,120,0.107265385,0.643592309,6,1,6,229,0,20,0
4588146,135,46,27.0,46,46,917629.2,49,49,100,20,1.089764798,0.21795296,6,0,0,256,32,20,0
46,6,6,6.0,6,6,46.0,46,0,20,20,21739.13043,21739.13043,6,1,1,119,255,20,0
27,6,6,6.0,6,6,27.0,27,0,20,20,37037.03704,37037.03704,6,1,1,115,229,20,0
353203,26,20,8.666666667000001,10135,0,58867.16667000001,72,801,72,92,8.493699091,11.32493212,0,0,1,8192,229,20,1
350984,26,20,8.666666667000001,5840,0,50140.57143,57,846,72,112,8.547398172000001,14.24566362,0,0,1,8192,229,20,1
